A.L.E: Arcade Learning Environment (version 0.10.1+6a7e0ae)
[Powered by Stella]
Épisode 95 terminé | Score : 240.00 | Total steps : 9271
Épisode 96 terminé | Score : 230.00 | Total steps : 9329
Épisode 97 terminé | Score : 1140.00 | Total steps : 9464
Épisode 98 terminé | Score : 340.00 | Total steps : 9521
Épisode 99 terminé | Score : 240.00 | Total steps : 9587
Épisode 100 terminé | Score : 1140.00 | Total steps : 9728
Épisode 101 terminé | Score : 340.00 | Total steps : 9785
Épisode 102 terminé | Score : 240.00 | Total steps : 9850
Épisode 103 terminé | Score : 1140.00 | Total steps : 9986
Épisode 104 terminé | Score : 260.00 | Total steps : 10040
Épisode 105 terminé | Score : 430.00 | Total steps : 10111
Épisode 106 terminé | Score : 1140.00 | Total steps : 10249
Épisode 107 terminé | Score : 340.00 | Total steps : 10304
Épisode 108 terminé | Score : 380.00 | Total steps : 10404
Épisode 109 terminé | Score : 1140.00 | Total steps : 10540
Épisode 110 terminé | Score : 340.00 | Total steps : 10597
Épisode 111 terminé | Score : 240.00 | Total steps : 10663
Épisode 112 terminé | Score : 1140.00 | Total steps : 10804
Épisode 113 terminé | Score : 340.00 | Total steps : 10859
Épisode 114 terminé | Score : 370.00 | Total steps : 10966
Épisode 115 terminé | Score : 940.00 | Total steps : 11164
Épisode 116 terminé | Score : 510.00 | Total steps : 11238
Épisode 117 terminé | Score : 870.00 | Total steps : 11302
Épisode 118 terminé | Score : 940.00 | Total steps : 11497
Épisode 119 terminé | Score : 510.00 | Total steps : 11571
Épisode 120 terminé | Score : 870.00 | Total steps : 11635
Épisode 121 terminé | Score : 1140.00 | Total steps : 11775
Épisode 122 terminé | Score : 260.00 | Total steps : 11829
Épisode 123 terminé | Score : 430.00 | Total steps : 11900
Épisode 124 terminé | Score : 1140.00 | Total steps : 12037
Épisode 125 terminé | Score : 260.00 | Total steps : 12091
Épisode 126 terminé | Score : 480.00 | Total steps : 12188
Épisode 127 terminé | Score : 1140.00 | Total steps : 12325
Épisode 128 terminé | Score : 340.00 | Total steps : 12380
Épisode 129 terminé | Score : 630.00 | Total steps : 12465
Épisode 130 terminé | Score : 1140.00 | Total steps : 12605
Épisode 131 terminé | Score : 340.00 | Total steps : 12660
Épisode 132 terminé | Score : 360.00 | Total steps : 12742
Épisode 133 terminé | Score : 1140.00 | Total steps : 12882
Épisode 134 terminé | Score : 340.00 | Total steps : 12937
Épisode 135 terminé | Score : 220.00 | Total steps : 13019
Épisode 136 terminé | Score : 1140.00 | Total steps : 13154
Épisode 137 terminé | Score : 260.00 | Total steps : 13208
Épisode 138 terminé | Score : 430.00 | Total steps : 13279
Épisode 139 terminé | Score : 1140.00 | Total steps : 13415
Épisode 140 terminé | Score : 510.00 | Total steps : 13489
Épisode 141 terminé | Score : 950.00 | Total steps : 13580
Épisode 142 terminé | Score : 1140.00 | Total steps : 13720
Épisode 143 terminé | Score : 340.00 | Total steps : 13775
Épisode 144 terminé | Score : 630.00 | Total steps : 13863
Épisode 145 terminé | Score : 940.00 | Total steps : 14059
Épisode 146 terminé | Score : 510.00 | Total steps : 14133
Épisode 147 terminé | Score : 1670.00 | Total steps : 14198
Épisode 148 terminé | Score : 1140.00 | Total steps : 14333
Épisode 149 terminé | Score : 510.00 | Total steps : 14407
Épisode 150 terminé | Score : 1050.00 | Total steps : 14511
Épisode 151 terminé | Score : 1140.00 | Total steps : 14649
Épisode 152 terminé | Score : 340.00 | Total steps : 14706
Épisode 153 terminé | Score : 240.00 | Total steps : 14772
Épisode 154 terminé | Score : 1140.00 | Total steps : 14907
Épisode 155 terminé | Score : 510.00 | Total steps : 14981
Épisode 156 terminé | Score : 310.00 | Total steps : 15050
Épisode 157 terminé | Score : 940.00 | Total steps : 15246
Épisode 158 terminé | Score : 510.00 | Total steps : 15320
Épisode 159 terminé | Score : 970.00 | Total steps : 15417
Épisode 160 terminé | Score : 1140.00 | Total steps : 15559
Épisode 161 terminé | Score : 260.00 | Total steps : 15613
Épisode 162 terminé | Score : 420.00 | Total steps : 15684
Épisode 163 terminé | Score : 1140.00 | Total steps : 15823
Épisode 164 terminé | Score : 260.00 | Total steps : 15877
Épisode 165 terminé | Score : 860.00 | Total steps : 16004
Épisode 166 terminé | Score : 1140.00 | Total steps : 16145
Épisode 167 terminé | Score : 340.00 | Total steps : 16202
Épisode 168 terminé | Score : 240.00 | Total steps : 16268
Épisode 169 terminé | Score : 1140.00 | Total steps : 16403
Épisode 170 terminé | Score : 340.00 | Total steps : 16458
Épisode 171 terminé | Score : 300.00 | Total steps : 16525
Épisode 172 terminé | Score : 1140.00 | Total steps : 16664
Épisode 173 terminé | Score : 260.00 | Total steps : 16718
Épisode 174 terminé | Score : 480.00 | Total steps : 16815
Épisode 175 terminé | Score : 1140.00 | Total steps : 16954
Épisode 176 terminé | Score : 260.00 | Total steps : 17008
Épisode 177 terminé | Score : 570.00 | Total steps : 17127
Épisode 178 terminé | Score : 1140.00 | Total steps : 17267
Épisode 179 terminé | Score : 260.00 | Total steps : 17321
Épisode 180 terminé | Score : 480.00 | Total steps : 17418
Épisode 181 terminé | Score : 1140.00 | Total steps : 17557
Épisode 182 terminé | Score : 340.00 | Total steps : 17612
Épisode 183 terminé | Score : 190.00 | Total steps : 17703
Épisode 184 terminé | Score : 1140.00 | Total steps : 17843
Épisode 185 terminé | Score : 340.00 | Total steps : 17900
Épisode 186 terminé | Score : 240.00 | Total steps : 17966
Épisode 187 terminé | Score : 1140.00 | Total steps : 18103
Épisode 188 terminé | Score : 340.00 | Total steps : 18158
Épisode 189 terminé | Score : 340.00 | Total steps : 18242
Épisode 190 terminé | Score : 1140.00 | Total steps : 18382
Épisode 191 terminé | Score : 340.00 | Total steps : 18437
Épisode 192 terminé | Score : 360.00 | Total steps : 18531
Épisode 193 terminé | Score : 1140.00 | Total steps : 18671
